"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Uup","Udown","Month","Percenttot","Window","MonthName"
"1","January","Delta","Dorosoma petenense",10.77336378,-0.011926015,2.032525262,1,7.029750027,17.44676349,0.203655454,-0.227507483,1,3.8079635,"Off","Jan"
"2","February","Delta","Dorosoma petenense",11.52256171,-0.000440351,2.13631824,1,2.839618984,30.02188856,0.584316669,-0.585197372,2,2.424885,"Off","Feb"
"3","March","Delta","Dorosoma petenense",0.241884702,-0.005362268,0.573777031,1,0.032288991,1.385658061,0.169603635,-0.180328171,3,0.6881547,"Off","Mar"
"4","April","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0,"Off","Apr"
"5","May","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0.1162282,"Off","May"
"6","June","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0.3218921,"Off","Jun"
"7","July","Delta","Dorosoma petenense",29.42210135,0.006125333,4.819019099,1,20.37636961,42.64638777,0.502942716,-0.49069205,7,11.1401547,"Off","Jul"
"8","August","Delta","Dorosoma petenense",26.02855956,-0.009088309,4.160980674,1,20.48297569,34.87785678,0.293134276,-0.311310894,8,26.9961253,"Key","Aug"
"9","September","Delta","Dorosoma petenense",22.13502506,-0.045068114,3.445848302,1,16.4099537,30.6631161,0.229960034,-0.320096262,9,11.6852905,"Key","Sep"
"10","October","Delta","Dorosoma petenense",17.24993818,-0.043416235,2.768732772,1,12.40029365,24.65149909,0.187191364,-0.274023834,10,12.3619825,"Key","Oct"
"11","November","Delta","Dorosoma petenense",22.06555002,0.054536514,3.5347475,1,16.5088786,30.42876903,0.355408435,-0.246335408,11,19.4169503,"Key","Nov"
"12","December","Delta","Dorosoma petenense",20.90075517,0.047785558,3.359505993,1,15.81974586,28.69647227,0.323310767,-0.227739651,12,11.0403732,"Off","Dec"
"13","January","Confluence","Dorosoma petenense",6.143327453,0.029410107,1.515310827,1,2.096034505,15.61685136,0.374078067,-0.315257854,1,2.2303502,"Off","Jan"
"14","February","Confluence","Dorosoma petenense",14.27810848,-0.181716446,2.174220541,1,2.439154864,33.76655174,0.408205113,-0.771638004,2,0.9336576,"Off","Feb"
"15","March","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,3,0.1383559,"Off","Mar"
"16","April","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0,"Off","Apr"
"17","May","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0.0335072,"Off","May"
"18","June","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0,"Off","Jun"
"19","July","Confluence","Dorosoma petenense",19.64540672,-0.144261868,2.888945966,1,5.279815539,40.20766759,0.522004354,-0.81052809,7,8.9691485,"Off","Jul"
"20","August","Confluence","Dorosoma petenense",28.58213142,-0.006251679,4.636977716,1,19.55466422,41.86210276,0.48109158,-0.493594939,8,46.4321558,"Key","Aug"
"21","September","Confluence","Dorosoma petenense",23.075594,-0.002558894,3.685795886,1,14.84240847,35.97826924,0.431934422,-0.43705221,9,10.2734537,"Off","Sep"
"22","October","Confluence","Dorosoma petenense",25.64003224,0.01720872,4.116160143,1,17.05156483,38.51499134,0.476368238,-0.441950797,10,7.3768535,"Off","Oct"
"23","November","Confluence","Dorosoma petenense",26.1757053,-0.085733538,3.994149344,1,16.43662762,39.29117877,0.366569609,-0.538036684,11,11.4968203,"Key","Nov"
"24","December","Confluence","Dorosoma petenense",28.77869747,0.001943388,4.692172879,1,19.80404623,42.04156968,0.492178555,-0.488291778,12,12.1156973,"Key","Dec"
"25","January","Suisun","Dorosoma petenense",4.690107419,-0.036617775,1.306838692,1,0.524388305,17.84405781,0.420737258,-0.493972808,1,3.9355755,"Off","Jan"
"26","February","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,2,2.1082131,"Off","Feb"
"27","March","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,3,0.3360828,"Off","Mar"
"28","April","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,4,0.3799427,"Off","Apr"
"29","May","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,5,0,"Off","May"
"30","June","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,6,0,"Off","Jun"
"31","July","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,7,0,"Off","Jul"
"32","August","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,NA,NA,8,7.1148767,"Off","Aug"
"33","September","Suisun","Dorosoma petenense",27.56743763,-0.06083906,4.301452106,1,10.83574266,48.91551959,0.752151743,-0.873829863,9,12.3709069,"Off","Sep"
"34","October","Suisun","Dorosoma petenense",24.6227723,0.046889716,3.943592104,1,9.78865722,45.23984824,0.825327811,-0.731548378,10,20.1453415,"Key","Oct"
