Region,Taxa,Timesteps,Group,Probability,Best,Worst,Predator,Meanprob,Meanbest,Meanworst
Suisun Bay,Acartiella,1,Zoop,22.3210181,14.10145535,34.24555623,Northern anchovy,22.43633723,13.02507353,36.00401398
Suisun Bay,Limnoithona,1,Zoop,27.33299303,19.829324,38.10548916,Northern anchovy,22.43633723,13.02507353,36.00401398
San Pablo Bay,Pseudodiaptomus,1,Zoop,18.58082954,6.728962879,36.64028922,Northern anchovy,13.32725484,4.830742113,27.10949874
Suisun Bay,Pseudodiaptomus,1,Zoop,26.61868838,18.98809943,36.77850416,Northern anchovy,22.43633723,13.02507353,36.00401398
Suisun Bay,Eurytemora,1,Zoop,27.17066462,16.08207323,42.04141175,Northern anchovy,22.43633723,13.02507353,36.00401398
San Pablo Bay,Acartia,1,Zoop,6.011874321,1.42107303,17.44278777,Northern anchovy,13.32725484,4.830742113,27.10949874
Suisun Bay,Acartia,1,Zoop,26.48423516,11.69081383,45.47066111,Northern anchovy,22.43633723,13.02507353,36.00401398
San Pablo Bay,Oithona,1,Zoop,15.38906065,6.342190429,27.24541922,Northern anchovy,13.32725484,4.830742113,27.10949874
Suisun Bay,Oithona,1,Zoop,19.76518502,8.249010631,36.13571101,Northern anchovy,22.43633723,13.02507353,36.00401398
Suisun Bay,Tortanus,1,Zoop,7.36157628,2.234738252,19.25076442,Northern anchovy,22.43633723,13.02507353,36.00401398
San Pablo Bay,Engraulis mordax,1,Fish,33.29455013,28.10880061,40.82068885,Northern anchovy,33.29455013,28.10880061,40.82068885
Suisun Bay,Engraulis mordax,1,Fish,27.37008279,19.77665303,38.48323871,Northern anchovy,27.37008279,19.77665303,38.48323871
Suisun Bay,Acartiella,2,Zoop,39.07390352,28.31082494,53.8224519,Northern anchovy,37.77690512,24.30108965,55.24296026
Suisun Bay,Limnoithona,2,Zoop,43.88482515,34.92423686,56.53829797,Northern anchovy,37.77690512,24.30108965,55.24296026
San Pablo Bay,Pseudodiaptomus,2,Zoop,33.72724545,14.66124378,56.91011481,Northern anchovy,25.46789817,10.91965967,45.92843688
Suisun Bay,Pseudodiaptomus,2,Zoop,43.96081764,34.85849485,56.10808285,Northern anchovy,37.77690512,24.30108965,55.24296026
Suisun Bay,Eurytemora,2,Zoop,42.84264883,27.54735029,60.37474573,Northern anchovy,37.77690512,24.30108965,55.24296026
San Pablo Bay,Acartia,2,Zoop,17.38398871,7.527107872,37.53238982,Northern anchovy,25.46789817,10.91965967,45.92843688
Suisun Bay,Acartia,2,Zoop,42.38205318,20.93956631,64.48021433,Northern anchovy,37.77690512,24.30108965,55.24296026
San Pablo Bay,Oithona,2,Zoop,25.29246036,10.57062737,43.34280602,Northern anchovy,25.46789817,10.91965967,45.92843688
Suisun Bay,Oithona,2,Zoop,34.04908792,15.7316527,55.69870246,Northern anchovy,37.77690512,24.30108965,55.24296026
Suisun Bay,Tortanus,2,Zoop,18.24499959,7.795501577,39.6782266,Northern anchovy,37.77690512,24.30108965,55.24296026
San Pablo Bay,Engraulis mordax,2,Fish,49.33802413,43.76266547,57.77927116,Northern anchovy,49.33802413,43.76266547,57.77927116
Suisun Bay,Engraulis mordax,2,Fish,43.81094716,34.80304513,56.88214065,Northern anchovy,43.81094716,34.80304513,56.88214065
Suisun Bay,Acartiella,3,Zoop,48.44637216,36.0636656,64.03888226,Northern anchovy,46.6873186,29.98022889,65.57287491
Suisun Bay,Limnoithona,3,Zoop,52.76966676,42.82161589,65.93388126,Northern anchovy,46.6873186,29.98022889,65.57287491
San Pablo Bay,Pseudodiaptomus,3,Zoop,42.81807423,17.02722267,67.63191113,Northern anchovy,33.6579514,13.42839801,57.47816016
Suisun Bay,Pseudodiaptomus,3,Zoop,53.40410493,43.76411664,66.04899114,Northern anchovy,46.6873186,29.98022889,65.57287491
Suisun Bay,Eurytemora,3,Zoop,51.47094696,32.47909774,69.69350186,Northern anchovy,46.6873186,29.98022889,65.57287491
San Pablo Bay,Acartia,3,Zoop,26.04692344,11.17852615,50.33479392,Northern anchovy,33.6579514,13.42839801,57.47816016
Suisun Bay,Acartia,3,Zoop,51.22066827,23.92030559,73.9373134,Northern anchovy,46.6873186,29.98022889,65.57287491
San Pablo Bay,Oithona,3,Zoop,32.10885654,12.07944522,54.46777542,Northern anchovy,33.6579514,13.42839801,57.47816016
Suisun Bay,Oithona,3,Zoop,42.76176912,18.59862236,66.40615086,Northern anchovy,46.6873186,29.98022889,65.57287491
Suisun Bay,Tortanus,3,Zoop,26.73770202,12.2141784,52.95140357,Northern anchovy,46.6873186,29.98022889,65.57287491
San Pablo Bay,Engraulis mordax,3,Fish,57.61319462,51.76608608,66.28129468,Northern anchovy,57.61319462,51.76608608,66.28129468
Suisun Bay,Engraulis mordax,3,Fish,52.65376376,42.67403965,66.26385805,Northern anchovy,52.65376376,42.67403965,66.26385805
Suisun Bay,Acartiella,4,Zoop,54.54892708,40.66387704,70.45489614,Northern anchovy,52.64053118,32.86497278,72.12804809
Suisun Bay,Limnoithona,4,Zoop,58.47310345,47.54650172,71.80109001,Northern anchovy,52.64053118,32.86497278,72.12804809
San Pablo Bay,Pseudodiaptomus,4,Zoop,48.92272655,16.6049971,74.34075306,Northern anchovy,39.56429693,13.73790364,65.30152177
Suisun Bay,Pseudodiaptomus,4,Zoop,59.49890095,49.45987072,72.25530244,Northern anchovy,52.64053118,32.86497278,72.12804809
Suisun Bay,Eurytemora,4,Zoop,57.07238836,34.51580573,75.47281147,Northern anchovy,52.64053118,32.86497278,72.12804809
San Pablo Bay,Acartia,4,Zoop,32.42081936,11.71597582,59.04183744,Northern anchovy,39.56429693,13.73790364,65.30152177
Suisun Bay,Acartia,4,Zoop,56.98211933,24.27470796,79.68510189,Northern anchovy,52.64053118,32.86497278,72.12804809
San Pablo Bay,Oithona,4,Zoop,37.34934487,12.892738,62.5219748,Northern anchovy,39.56429693,13.73790364,65.30152177
Suisun Bay,Oithona,4,Zoop,48.70282365,19.07539186,73.220121,Northern anchovy,52.64053118,32.86497278,72.12804809
Suisun Bay,Tortanus,4,Zoop,33.20545541,14.51865442,62.00701371,Northern anchovy,52.64053118,32.86497278,72.12804809
San Pablo Bay,Engraulis mordax,4,Fish,62.84251158,56.67574169,71.57818384,Northern anchovy,62.84251158,56.67574169,71.57818384
Suisun Bay,Engraulis mordax,4,Fish,58.33707629,47.37852188,72.12209213,Northern anchovy,58.33707629,47.37852188,72.12209213
Suisun Bay,Acartiella,5,Zoop,58.90772776,43.5810405,74.91966397,Northern anchovy,56.96707731,34.29946849,76.69910608
Suisun Bay,Limnoithona,5,Zoop,62.52180332,50.62030754,75.88216741,Northern anchovy,56.96707731,34.29946849,76.69910608
San Pablo Bay,Pseudodiaptomus,5,Zoop,53.35309155,15.17539453,78.96287439,Northern anchovy,44.05010741,12.99678187,70.96122196
Suisun Bay,Pseudodiaptomus,5,Zoop,63.83739907,53.42914603,76.55969513,Northern anchovy,56.96707731,34.29946849,76.69910608
Suisun Bay,Eurytemora,5,Zoop,61.0710914,35.20616539,79.45784645,Northern anchovy,56.96707731,34.29946849,76.69910608
San Pablo Bay,Acartia,5,Zoop,37.25023247,10.63514887,65.35252224,Northern anchovy,44.05010741,12.99678187,70.96122196
Suisun Bay,Acartia,5,Zoop,61.10384273,23.60107815,83.57061802,Northern anchovy,56.96707731,34.29946849,76.69910608
San Pablo Bay,Oithona,5,Zoop,41.54699821,13.1798022,68.56826925,Northern anchovy,44.05010741,12.99678187,70.96122196
Suisun Bay,Oithona,5,Zoop,53.06320114,18.45370286,77.96093821,Northern anchovy,56.96707731,34.29946849,76.69910608
Suisun Bay,Tortanus,5,Zoop,38.26447578,15.20483895,68.54281334,Northern anchovy,56.96707731,34.29946849,76.69910608
San Pablo Bay,Engraulis mordax,5,Fish,66.5231481,60.00759924,75.26942467,Northern anchovy,66.5231481,60.00759924,75.26942467
Suisun Bay,Engraulis mordax,5,Fish,62.37512358,50.43313567,76.19597692,Northern anchovy,62.37512358,50.43313567,76.19597692
Suisun Bay,Acartiella,6,Zoop,62.21345406,45.51136922,78.23321885,Northern anchovy,60.28938899,34.95855259,80.08418488
Suisun Bay,Limnoithona,6,Zoop,65.58412941,52.72822626,78.91642414,Northern anchovy,60.28938899,34.95855259,80.08418488
San Pablo Bay,Pseudodiaptomus,6,Zoop,56.7428573,13.53800646,82.34890671,Northern anchovy,47.58867694,11.84449868,75.24733169
Suisun Bay,Pseudodiaptomus,6,Zoop,67.12423357,56.35664085,79.74698948,Northern anchovy,60.28938899,34.95855259,80.08418488
Suisun Bay,Eurytemora,6,Zoop,64.10433839,35.24098862,82.39240924,Northern anchovy,60.28938899,34.95855259,80.08418488
San Pablo Bay,Acartia,6,Zoop,41.02417478,9.001144841,70.14537576,Northern anchovy,47.58867694,11.84449868,75.24733169
Suisun Bay,Acartia,6,Zoop,64.23426613,22.57325232,86.3762287,Northern anchovy,60.28938899,34.95855259,80.08418488
San Pablo Bay,Oithona,6,Zoop,44.99899874,12.99434474,73.24771261,Northern anchovy,47.58867694,11.84449868,75.24733169
Suisun Bay,Oithona,6,Zoop,56.42840828,17.39578344,81.4561,Northern anchovy,60.28938899,34.95855259,80.08418488
Suisun Bay,Tortanus,6,Zoop,42.33689311,14.90360743,73.46792376,Northern anchovy,60.28938899,34.95855259,80.08418488
San Pablo Bay,Engraulis mordax,6,Fish,69.29210466,62.41600748,78.02394527,Northern anchovy,69.29210466,62.41600748,78.02394527
Suisun Bay,Engraulis mordax,6,Fish,65.43169364,52.52250598,79.22390171,Northern anchovy,65.43169364,52.52250598,79.22390171
Suisun Bay,Acartiella,7,Zoop,64.82745134,46.82207999,80.80329689,Northern anchovy,62.94131967,35.19841956,82.69776237
Suisun Bay,Limnoithona,7,Zoop,68.00357478,54.22438797,81.27684148,Northern anchovy,62.94131967,35.19841956,82.69776237
San Pablo Bay,Pseudodiaptomus,7,Zoop,59.4363667,12.0131614,84.9369598,Northern anchovy,50.4609116,10.60984468,78.60359368
Suisun Bay,Pseudodiaptomus,7,Zoop,69.72368996,58.60334655,82.21490227,Northern anchovy,62.94131967,35.19841956,82.69776237
Suisun Bay,Eurytemora,7,Zoop,66.5040609,34.95352137,84.65245628,Northern anchovy,62.94131967,35.19841956,82.69776237
San Pablo Bay,Acartia,7,Zoop,44.05061741,7.348771207,73.91370862,Northern anchovy,50.4609116,10.60984468,78.60359368
Suisun Bay,Acartia,7,Zoop,66.71270271,21.48137148,88.49513336,Northern anchovy,62.94131967,35.19841956,82.69776237
San Pablo Bay,Oithona,7,Zoop,47.8957507,12.46760143,76.96011261,Northern anchovy,50.4609116,10.60984468,78.60359368
Suisun Bay,Oithona,7,Zoop,59.12129562,16.22656066,84.13948063,Northern anchovy,62.94131967,35.19841956,82.69776237
Suisun Bay,Tortanus,7,Zoop,45.69646238,14.07766887,77.30222565,Northern anchovy,62.94131967,35.19841956,82.69776237
San Pablo Bay,Engraulis mordax,7,Fish,71.47159222,64.23328965,80.17668973,Northern anchovy,71.47159222,64.23328965,80.17668973
Suisun Bay,Engraulis mordax,7,Fish,67.84821398,54.00083649,81.57849787,Northern anchovy,67.84821398,54.00083649,81.57849787
Suisun Bay,Acartiella,8,Zoop,66.95892402,47.72384188,82.86176595,Northern anchovy,65.11982498,35.21347942,84.77847711
Suisun Bay,Limnoithona,8,Zoop,69.97681149,55.31057113,83.17424696,Northern anchovy,65.11982498,35.21347942,84.77847711
San Pablo Bay,Pseudodiaptomus,8,Zoop,61.63799913,10.70738541,86.97754481,Northern anchovy,52.84461261,9.449461873,81.29948344
Suisun Bay,Pseudodiaptomus,8,Zoop,71.84513231,60.37876953,84.18877749,Northern anchovy,65.11982498,35.21347942,84.77847711
Suisun Bay,Eurytemora,8,Zoop,68.46202439,34.51398706,86.45058738,Northern anchovy,65.11982498,35.21347942,84.77847711
San Pablo Bay,Acartia,8,Zoop,46.52913252,5.896672629,76.95579382,Northern anchovy,52.84461261,9.449461873,81.29948344
Suisun Bay,Acartia,8,Zoop,68.7357827,20.44835948,90.1484379,Northern anchovy,65.11982498,35.21347942,84.77847711
San Pablo Bay,Oithona,8,Zoop,50.36670618,11.74432758,79.96511168,Northern anchovy,52.84461261,9.449461873,81.29948344
Suisun Bay,Oithona,8,Zoop,61.33565275,15.0986205,86.2621873,Northern anchovy,65.11982498,35.21347942,84.77847711
Suisun Bay,Tortanus,8,Zoop,48.5244472,13.02020638,80.3633368,Northern anchovy,65.11982498,35.21347942,84.77847711
San Pablo Bay,Engraulis mordax,8,Fish,73.24421594,65.64764538,81.91616394,Northern anchovy,73.24421594,65.64764538,81.91616394
Suisun Bay,Engraulis mordax,8,Fish,69.82029104,55.07002996,83.47043394,Northern anchovy,69.82029104,55.07002996,83.47043394
Suisun Bay,Acartiella,9,Zoop,68.73829921,48.34548518,84.55124051,Northern anchovy,66.9494997,35.1120404,86.47434347
Suisun Bay,Limnoithona,9,Zoop,71.62553457,56.11027052,84.73782229,Northern anchovy,66.9494997,35.1120404,86.47434347
San Pablo Bay,Pseudodiaptomus,9,Zoop,63.47742621,9.635819273,88.62513334,Northern anchovy,54.85821828,8.427594289,83.50869017
Suisun Bay,Pseudodiaptomus,9,Zoop,73.61844764,61.81346563,85.80686113,Northern anchovy,66.9494997,35.1120404,86.47434347
Suisun Bay,Eurytemora,9,Zoop,70.09764939,34.01250039,87.91700479,Northern anchovy,66.9494997,35.1120404,86.47434347
San Pablo Bay,Acartia,9,Zoop,48.59393132,4.705636804,79.46300801,Northern anchovy,54.85821828,8.427594289,83.50869017
Suisun Bay,Acartia,9,Zoop,70.42622105,19.52123321,91.47078865,Northern anchovy,66.9494997,35.1120404,86.47434347
San Pablo Bay,Oithona,9,Zoop,52.50329731,10.94132679,82.43792917,Northern anchovy,54.85821828,8.427594289,83.50869017
Suisun Bay,Oithona,9,Zoop,63.19551548,14.07728287,87.9804154,Northern anchovy,66.9494997,35.1120404,86.47434347
Suisun Bay,Tortanus,9,Zoop,50.94483059,11.90404499,82.85627151,Northern anchovy,66.9494997,35.1120404,86.47434347
San Pablo Bay,Engraulis mordax,9,Fish,74.72215614,66.77430032,83.35757117,Northern anchovy,74.72215614,66.77430032,83.35757117
Suisun Bay,Engraulis mordax,9,Fish,71.46901619,55.85366102,85.02880843,Northern anchovy,71.46901619,55.85366102,85.02880843
Suisun Bay,Acartiella,10,Zoop,70.25160249,48.76977885,85.96476559,Northern anchovy,68.51348377,34.95498733,87.88248152
Suisun Bay,Limnoithona,10,Zoop,73.02958057,56.70329328,86.05164409,Northern anchovy,68.51348377,34.95498733,87.88248152
San Pablo Bay,Pseudodiaptomus,10,Zoop,65.04129155,8.777511036,89.98056741,Northern anchovy,56.58393314,7.560747276,85.34851778
Suisun Bay,Pseudodiaptomus,10,Zoop,75.12900993,62.99335312,87.15917578,Northern anchovy,68.51348377,34.95498733,87.88248152
Suisun Bay,Eurytemora,10,Zoop,71.48965385,33.49752879,89.13635271,Northern anchovy,68.51348377,34.95498733,87.88248152
San Pablo Bay,Acartia,10,Zoop,50.33845785,3.766378701,81.56410972,Northern anchovy,56.58393314,7.560747276,85.34851778
Suisun Bay,Acartia,10,Zoop,71.86503709,18.71199598,92.54921376,Northern anchovy,68.51348377,34.95498733,87.88248152
San Pablo Bay,Oithona,10,Zoop,54.37205001,10.13835209,84.50087621,Northern anchovy,56.58393314,7.560747276,85.34851778
Suisun Bay,Oithona,10,Zoop,64.78434524,13.1840624,89.39680518,Northern anchovy,68.51348377,34.95498733,87.88248152
Suisun Bay,Tortanus,10,Zoop,53.04515723,10.82489888,84.91941354,Northern anchovy,68.51348377,34.95498733,87.88248152
San Pablo Bay,Engraulis mordax,10,Fish,75.97861456,67.68806163,84.57577425,Northern anchovy,75.97861456,67.68806163,84.57577425
Suisun Bay,Engraulis mordax,10,Fish,72.87385952,56.43157029,86.33764902,Northern anchovy,72.87385952,56.43157029,86.33764902
San Pablo Bay,Pseudodiaptomus,1,Zoop,24.44444219,8.691401571,45.98651278,Pacific herring,21.45618757,7.974658739,40.31405759
San Pablo Bay,Acartia,1,Zoop,20.1472065,8.805695724,34.5310464,Pacific herring,21.45618757,7.974658739,40.31405759
San Pablo Bay,Oithona,1,Zoop,19.77691403,6.426878921,40.42461358,Pacific herring,21.45618757,7.974658739,40.31405759
San Pablo Bay,Clupea pallasii,1,Fish,33.16111742,27.91144553,41.03667197,Pacific herring,33.16111742,27.91144553,41.03667197
San Pablo Bay,Pseudodiaptomus,2,Zoop,41.11752744,17.76113625,65.93946047,Pacific herring,36.32974777,15.55242669,59.99413597
San Pablo Bay,Acartia,2,Zoop,31.65148836,13.71009256,52.62426306,Pacific herring,36.32974777,15.55242669,59.99413597
San Pablo Bay,Oithona,2,Zoop,36.2202275,15.18605126,61.41868437,Pacific herring,36.32974777,15.55242669,59.99413597
San Pablo Bay,Clupea pallasii,2,Fish,49.22312614,43.66257127,58.04619365,Pacific herring,49.22312614,43.66257127,58.04619365
San Pablo Bay,Pseudodiaptomus,3,Zoop,50.34754848,20.32015156,75.60895664,Pacific herring,45.13061202,18.03053022,70.40077231
San Pablo Bay,Acartia,3,Zoop,39.34702794,15.98632033,63.66126683,Pacific herring,45.13061202,18.03053022,70.40077231
San Pablo Bay,Oithona,3,Zoop,45.69725965,17.78511877,71.93209345,Pacific herring,45.13061202,18.03053022,70.40077231
San Pablo Bay,Clupea pallasii,3,Fish,57.4818557,51.67948352,66.54165711,Pacific herring,57.4818557,51.67948352,66.54165711
San Pablo Bay,Pseudodiaptomus,4,Zoop,56.34570682,20.15723047,81.38135392,Pacific herring,51.08076827,18.14175052,76.9042684
San Pablo Bay,Acartia,4,Zoop,44.95242962,16.7278908,71.0228395,Pacific herring,51.08076827,18.14175052,76.9042684
San Pablo Bay,Oithona,4,Zoop,51.94416837,17.54013029,78.30861177,Pacific herring,51.08076827,18.14175052,76.9042684
San Pablo Bay,Clupea pallasii,4,Fish,62.69467984,56.58247404,71.8261133,Pacific herring,62.69467984,56.58247404,71.8261133
San Pablo Bay,Pseudodiaptomus,5,Zoop,60.63123218,19.0306935,85.22603035,Pacific herring,55.43908697,17.25192055,81.36411863
San Pablo Bay,Acartia,5,Zoop,49.24971686,16.43761856,76.26410794,Pacific herring,55.43908697,17.25192055,81.36411863
San Pablo Bay,Oithona,5,Zoop,56.43631187,16.28744958,82.6022176,Pacific herring,55.43908697,17.25192055,81.36411863
San Pablo Bay,Clupea pallasii,5,Fish,66.36194586,59.901403,75.5055152,Pacific herring,66.36194586,59.901403,75.5055152
San Pablo Bay,Pseudodiaptomus,6,Zoop,63.88529445,17.65469446,87.96524578,Pacific herring,58.80439197,16.0135368,84.60903275
San Pablo Bay,Acartia,6,Zoop,52.67012354,15.58985063,80.17360495,Pacific herring,58.80439197,16.0135368,84.60903275
San Pablo Bay,Oithona,6,Zoop,59.85775793,14.7960653,85.68824752,Pacific herring,58.80439197,16.0135368,84.60903275
San Pablo Bay,Clupea pallasii,6,Fish,69.12040142,62.29481162,78.24971896,Pacific herring,69.12040142,62.29481162,78.24971896
San Pablo Bay,Pseudodiaptomus,7,Zoop,66.46267167,16.31474911,90.00811241,Pacific herring,61.50181259,14.73388328,87.06897884
San Pablo Bay,Acartia,7,Zoop,55.47154754,14.51713147,83.19131952,Pacific herring,61.50181259,14.73388328,87.06897884
San Pablo Bay,Oithona,7,Zoop,62.57121857,13.36976925,88.00750458,Pacific herring,61.50181259,14.73388328,87.06897884
San Pablo Bay,Clupea pallasii,7,Fish,71.29165479,64.09655196,80.39361186,Pacific herring,71.29165479,64.09655196,80.39361186
San Pablo Bay,Pseudodiaptomus,8,Zoop,68.5682516,15.11632167,91.58287015,Pacific herring,63.72489807,13.54916664,88.99101697
San Pablo Bay,Acartia,8,Zoop,57.81793692,13.41619748,85.5822162,Pacific herring,63.72489807,13.54916664,88.99101697
San Pablo Bay,Oithona,8,Zoop,64.78850569,12.11498077,89.80796455,Pacific herring,63.72489807,13.54916664,88.99101697
San Pablo Bay,Clupea pallasii,8,Fish,73.05779409,65.49544211,82.12547356,Pacific herring,73.05779409,65.49544211,82.12547356
San Pablo Bay,Pseudodiaptomus,9,Zoop,70.32957822,14.08763791,92.82757645,Pacific herring,65.59693722,12.51064299,90.52793546
San Pablo Bay,Acartia,9,Zoop,59.81876084,12.38955919,87.51565271,Pacific herring,65.59693722,12.51064299,90.52793546
San Pablo Bay,Oithona,9,Zoop,66.64247261,11.05473188,91.24057722,Pacific herring,65.59693722,12.51064299,90.52793546
San Pablo Bay,Clupea pallasii,9,Fish,74.53060694,66.60696811,83.56028451,Pacific herring,74.53060694,66.60696811,83.56028451
San Pablo Bay,Pseudodiaptomus,10,Zoop,71.83069827,13.22427,93.83092609,Pacific herring,67.20064772,11.62821928,91.77961812
San Pablo Bay,Acartia,10,Zoop,61.55010476,11.48219478,89.10510507,Pacific herring,67.20064772,11.62821928,91.77961812
San Pablo Bay,Oithona,10,Zoop,68.22114012,10.17819307,92.40282321,Pacific herring,67.20064772,11.62821928,91.77961812
San Pablo Bay,Clupea pallasii,10,Fish,75.78300334,67.50604299,84.77272169,Pacific herring,75.78300334,67.50604299,84.77272169
San Pablo Bay,Pseudodiaptomus,1,Zoop,12.8834093,4.229494286,28.4451839,Jack silverside,8.734335281,2.953030692,19.81882048
San Pablo Bay,Acartia,1,Zoop,4.403657893,1.078344788,13.07423755,Jack silverside,8.734335281,2.953030692,19.81882048
San Pablo Bay,Oithona,1,Zoop,8.915938651,3.551253002,17.93703998,Jack silverside,8.734335281,2.953030692,19.81882048
San Pablo Bay,Atherinopsis californiensis,1,Fish,23.83570705,8.115055908,45.17428222,Jack silverside,23.83570705,8.115055908,45.17428222
San Pablo Bay,Pseudodiaptomus,2,Zoop,26.57851466,11.18287095,49.28146261,Jack silverside,18.83713363,7.77769659,38.23326319
San Pablo Bay,Acartia,2,Zoop,13.36391332,5.672693644,30.85849916,Jack silverside,18.83713363,7.77769659,38.23326319
San Pablo Bay,Oithona,2,Zoop,16.5689729,6.477525176,34.55982779,Jack silverside,18.83713363,7.77769659,38.23326319
San Pablo Bay,Atherinopsis californiensis,2,Fish,39.73208785,15.71061371,64.95890345,Jack silverside,39.73208785,15.71061371,64.95890345
San Pablo Bay,Pseudodiaptomus,3,Zoop,35.66190652,14.17515245,61.16259521,Jack silverside,26.57084572,10.75464667,50.65939144
San Pablo Bay,Acartia,3,Zoop,20.91444114,9.079308619,43.57886886,Jack silverside,26.57084572,10.75464667,50.65939144
San Pablo Bay,Oithona,3,Zoop,23.1361895,9.00947894,47.23671025,Jack silverside,26.57084572,10.75464667,50.65939144
