Station,Group,Taxa,Region,YearMin,YearMax,Yeartot,MeanCPUE,Occurences,Latitude,Longitude
101,Fish,Engraulis mordax,South Bay,1995,2020,26,424.2026728,233,37.5355,-122.1662667
102,Fish,Engraulis mordax,South Bay,1995,2020,26,472.3222106,210,37.5833,-122.2083
103,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",South Bay,1995,2020,"22, 23, 26","26.3229421, 17.33828308, 726.8860029","60, 63, 192",37.6033,-122.3028
104,Fish,Engraulis mordax,South Bay,1995,2020,25,212.5757888,198,37.6797,-122.2367
105,Fish,Engraulis mordax,South Bay,1995,2020,26,297.6367163,199,37.7195,-122.2708
106,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",South Bay,1995,2020,"24, 25","47.29542715, 87.67503599, 481.4350586","81, 87, 173",37.702,-122.3667
107,Fish,Engraulis mordax,South Bay,1995,2020,26,912.6966675,218,37.605,-122.2858
108,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",South Bay,1995,"2020, 2017","20, 23, 26","29.36680614, 55.17019284, 683.7518058","71, 86, 208",37.6758,-122.3297
109,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,"1996, 1995",2020,24,"84.515954, 196.5569229, 1427.477594","79, 138, 178",37.7392,-122.3533
110,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"25, 26","22.66890671, 114.8033379, 1605.337558","72, 126, 212",37.78818333,-122.3561833
140,Fish,"Clupea pallasii, Engraulis mordax",South Bay,"1996, 1995","2017, 2020","20, 26","33.3540523, 329.8215194","52, 237",37.50185,-122.1161833
142,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"25, 23, 26","46.1735632, 39.63640897, 730.1363352","90, 75, 190",37.76183333,-122.3053333
212,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"25, 24","28.01252473, 54.76800239, 436.444966","76, 97, 191",37.8545,-122.3527
213,Fish,"Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"23, 24","266.178643, 1935.340982","85, 129",37.8325,-122.4271667
214,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,"1996, 1995",2020,"22, 23, 25","32.17548813, 164.7718194, 1410.459215","68, 108, 157",37.86566667,-122.4016667
215,Fish,"Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"24, 25","139.3426978, 1175.83818","96, 183",37.888,-122.4242
216,Fish,"Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"23, 25","144.9450875, 1425.387745","104, 192",37.9208,-122.4363
243,Fish,"Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"24, 26","146.5989828, 1857.971849","89, 179",37.8842,-122.4012
244,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",Central Bay,1995,2020,"23, 24, 26","63.21840797, 73.07742735, 680.2645784","65, 93, 174",37.9237,-122.468
317,Fish,"Atherinopsis californiensis, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"22, 24, 26","22.39812286, 128.6915413, 683.31982","55, 97, 201",37.98901667,-122.4090333
318,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"21, 23, 26","13.90660366, 118.1131268, 614.3544763","52, 87, 217",38.0213,-122.345
319,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,"2020, 2017","23, 26","20.0655635, 33.45649463, 348.9953602","69, 73, 173",38.0403,-122.2855
320,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"20, 24, 26","13.57239753, 19.06860945, 255.382409","55, 72, 181",38.06266667,-122.3171667
321,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"22, 23, 26","13.38300996, 38.87935832, 324.4837473","66, 76, 274",38.0662,-122.3675
322,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,"2020, 2017","23, 22, 26","9.852702141, 49.88277524, 260.788046","70, 81, 287",38.053,-122.4138
323,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"21, 24, 26","14.05361533, 95.16087923, 612.663939","68, 95, 279",38.0187,-122.43
325,Fish,"Alosa sapidissima, Clupea pallasii, Engraulis mordax, Spirinchus thaleichthys",San Pablo Bay,1995,2020,"19, 25, 26, 20","8.69897512, 47.71704417, 423.353578, 74.91153678","51, 96, 287, 78",38.03,-122.3717
345,Fish,"Clupea pallasii, Engraulis mordax",San Pablo Bay,1995,2020,"23, 26","136.8169392, 1278.794168","106, 216",37.9975,-122.4242
427,Fish,"Alosa sapidissima, Engraulis mordax, Morone saxatilis, Spirinchus thaleichthys",Suisun Bay,"1996, 1995",2020,"23, 24, 25, 20","10.68651153, 61.00716463, 18.86684194, 35.04085385","57, 122, 71, 62",38.0355,-122.1522
