"","Month_name","Region","Taxa","Probability","U","Q","Timesteps","Best","Worst","Month","Percenttot","Window","MonthName"
"1","January","Delta","Dorosoma petenense",13.81400223,-0.031821684,2.360306528,1,7.907056191,23.76378337,1,3.8079635,"Off","Jan"
"2","February","Delta","Dorosoma petenense",14.06193259,0,2.441955784,1,2.926766853,36.41634285,2,2.424885,"Off","Feb"
"3","March","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,3,0.6881547,"Off","Mar"
"4","April","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"5","May","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,5,0.1162282,"Off","May"
"6","June","Delta","Dorosoma petenense",NA,NA,NA,1,NA,NA,6,0.3218921,"Off","Jun"
"7","July","Delta","Dorosoma petenense",39.5764761,0.054281983,7.353656239,1,24.8773432,56.19514424,7,11.1401547,"Off","Jul"
"8","August","Delta","Dorosoma petenense",33.06490844,-0.043962451,5.464288478,1,26.45772939,42.57333158,8,26.9961253,"Key","Aug"
"9","September","Delta","Dorosoma petenense",23.21243673,-0.027746454,3.649928788,1,17.60886687,31.88328061,9,11.6852905,"Key","Sep"
"10","October","Delta","Dorosoma petenense",24.32802714,-0.011019529,3.868025001,1,16.59849373,36.27821492,10,12.3619825,"Key","Oct"
"11","November","Delta","Dorosoma petenense",26.18327007,0.066940373,4.212118255,1,19.62753655,35.51243562,11,19.4169503,"Key","Nov"
"12","December","Delta","Dorosoma petenense",28.43106637,0.084491572,4.627043619,1,20.70101449,39.02859682,12,11.0403732,"Off","Dec"
"13","January","Confluence","Dorosoma petenense",11.98523454,-0.06499242,2.095218909,1,3.934944924,26.63485345,1,2.2303502,"Off","Jan"
"14","February","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,2,0.9336576,"Off","Feb"
"15","March","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,3,0.1383559,"Off","Mar"
"16","April","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,4,0,"Off","Apr"
"17","May","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,5,0.0335072,"Off","May"
"18","June","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,6,0,"Off","Jun"
"19","July","Confluence","Dorosoma petenense",NA,NA,NA,1,NA,NA,7,8.9691485,"Off","Jul"
"20","August","Confluence","Dorosoma petenense",40.08639532,0.048855269,7.514036206,1,25.34573124,56.71355843,8,46.4321558,"Key","Aug"
"21","September","Confluence","Dorosoma petenense",22.98793779,-0.002691672,3.671653297,1,14.40405839,36.09898078,9,10.2734537,"Off","Sep"
"22","October","Confluence","Dorosoma petenense",23.67611483,0.019378903,3.787741975,1,12.68147452,39.38169963,10,7.3768535,"Off","Oct"
"23","November","Confluence","Dorosoma petenense",26.09577771,-0.086254814,3.97932916,1,15.97587541,39.41610139,11,11.4968203,"Key","Nov"
"24","December","Confluence","Dorosoma petenense",30.77247566,0.007730332,5.095961977,1,20.84753089,44.64868566,12,12.1156973,"Key","Dec"
"25","January","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,1,3.9355755,"Off","Jan"
"26","February","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,2,2.1082131,"Off","Feb"
"27","March","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,3,0.3360828,"Off","Mar"
"28","April","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,4,0.3799427,"Off","Apr"
"29","May","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"30","June","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,6,0,"Off","Jun"
"31","July","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,7,0,"Off","Jul"
"32","August","Suisun","Dorosoma petenense",NA,NA,NA,1,NA,NA,8,7.1148767,"Off","Aug"
"33","September","Suisun","Dorosoma petenense",28.65231882,-0.080467631,4.448234925,1,10.29799697,51.11717465,9,12.3709069,"Off","Sep"
"34","October","Suisun","Dorosoma petenense",24.48832737,0.03817405,3.921047279,1,8.549082101,46.82493439,10,20.1453415,"Key","Oct"
"35","November","Suisun","Dorosoma petenense",19.28350585,-0.010111765,3.106281051,1,6.111137551,40.6744867,11,25.3071175,"Key","Nov"
"36","December","Suisun","Dorosoma petenense",22.69444985,-0.087595492,3.435736271,1,6.791792319,44.91220891,12,28.3019432,"Key","Dec"
"37","January","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,1,11.860181,"Key","Jan"
"38","February","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,2,9.614518,"Key","Feb"
"39","March","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,3,4.6942819,"Off","Mar"
"40","April","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,4,1.0809815,"Off","Apr"
"41","May","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"42","June","Delta","Morone saxatilis",NA,NA,NA,1,NA,NA,6,6.2043027,"Off","Jun"
"43","July","Delta","Morone saxatilis",8.109044201,-0.058787868,1.670588935,1,1.91406141,21.56785332,7,15.3309661,"Key","Jul"
"44","August","Delta","Morone saxatilis",8.415064564,-0.113329405,1.637483925,1,1.633559926,22.12822316,8,10.8821759,"Key","Aug"
"45","September","Delta","Morone saxatilis",18.00375887,-1.44e-17,2.949901265,1,8.107985489,34.34865131,9,14.5076181,"Key","Sep"
"46","October","Delta","Morone saxatilis",12.96454034,-0.032772387,2.257564497,1,4.044237196,29.63685696,10,10.0164785,"Key","Oct"
"47","November","Delta","Morone saxatilis",12.3797266,-0.10801561,2.076087057,1,3.5348333,27.74445126,11,7.637675,"Off","Nov"
"48","December","Delta","Morone saxatilis",2.652778766,-0.014653062,1.065517169,1,0.091730131,15.22719709,12,8.1708212,"Off","Dec"
"49","January","Confluence","Morone saxatilis",12.99418264,-0.000239398,2.311636056,1,5.850979927,25.81002908,1,10.1298346,"Key","Jan"
"50","February","Confluence","Morone saxatilis",10.10505061,-0.013357672,1.953581094,1,2.805698327,25.708475,2,7.7939351,"Off","Feb"
"51","March","Confluence","Morone saxatilis",2.003242221,0,0.980187211,1,0.034335455,14.02707838,3,5.3425652,"Off","Mar"
"52","April","Confluence","Morone saxatilis",7.989608348,0,1.728683833,1,1.153633186,26.39358698,4,3.0770143,"Off","Apr"
"53","May","Confluence","Morone saxatilis",NA,NA,NA,1,NA,NA,5,0,"Off","May"
"54","June","Confluence","Morone saxatilis",NA,NA,NA,1,NA,NA,6,1.3597443,"Off","Jun"
"55","July","Confluence","Morone saxatilis",24.05614943,-0.048851508,3.734757673,1,13.080994,39.5976082,7,27.5832849,"Key","Jul"
"56","August","Confluence","Morone saxatilis",11.98195818,0.04508283,2.190888639,1,4.32474027,26.47038151,8,14.0990299,"Key","Aug"
"57","September","Confluence","Morone saxatilis",5.148184162,-0.061558207,1.33586149,1,1.505624094,12.969759,9,7.9024997,"Key","Sep"
"58","October","Confluence","Morone saxatilis",8.814796039,0.003063122,1.823287577,1,3.790319187,18.95593209,10,4.3810954,"Key","Oct"
"59","November","Confluence","Morone saxatilis",16.49994882,-0.093424638,2.583461891,1,8.204090113,28.77021376,11,7.8906114,"Key","Nov"
"60","December","Confluence","Morone saxatilis",10.98834468,-0.024737301,2.039236565,1,5.025867093,21.83837518,12,10.4403852,"Key","Dec"
"61","January","Suisun","Morone saxatilis",18.10372311,-0.02550504,2.914815628,1,11.3529156,28.78219572,1,11.2852354,"Key","Jan"
"62","February","Suisun","Morone saxatilis",19.31482353,0.036488891,3.13092854,1,13.5324414,28.35429688,2,11.143532,"Key","Feb"
"63","March","Suisun","Morone saxatilis",21.1784951,0.091779447,3.401355195,1,14.27243509,31.00169053,3,11.6359771,"Key","Mar"
"64","April","Suisun","Morone saxatilis",17.91207111,-0.054229812,2.835018543,1,10.99888601,28.24380734,4,7.2905609,"Off","Apr"
"65","May","Suisun","Morone saxatilis",NA,NA,NA,1,NA,NA,5,0.0380754,"Off","May"
"66","June","Suisun","Morone saxatilis",NA,NA,NA,1,NA,NA,6,3.042486,"Off","Jun"
